video_name,language_query,link
monitor_bikeyellow.mp4,"We want to track the girl wearing a yellow skirt and carring a blue bag is riding a bike on the right of the road.",https://youtu.be/HGczHs7b3lE
Juediqiusheng_video_008.mp4,"the person in the black jar who is holding a hammer",https://youtu.be/TTicAkWLFjs
INF_blueCar.mp4,"the truck running on the road",https://youtu.be/0FTqRjP95oQ
INF_blackwidow_1.mp4,"the head with red hair",https://youtu.be/EPDW5OkUSdw
INF_bikemove1.mp4,"the person who is riding a bike",https://youtu.be/DeWA-51Ve2U
Cartoon_YellowPeople_video_07.mp4,"the yellow people in red christmas hat",https://youtu.be/C3v4y1trifc
BluceLi_video_09.mp4,"the man in white shirt and black pants",https://youtu.be/CrJbNObWpMY
Bicycle_video_02.mp4,"the animal who is riding a motor",https://youtu.be/oaLlG_5RJks
Battle_video_1.mp4,"the target person the player againest with",https://youtu.be/__nI2xSkSg4
Baseball_video_01.mp4,"the man in gray on the right side of the screen",https://youtu.be/4dItx6NR44A
Baseball_video_02.mp4,"the man in white gym suit with number 41 and black hat",https://youtu.be/ooF21SIG2gI
Baseball_game_002.mp4,"the women who is holding a tennis racket in red vest and white hat and short skirt",https://youtu.be/77FKu3AcVok
CrashCar_video_11.mp4,"the green car on the road",https://youtu.be/6ubpzfI142I
CartoonJerryTom_video_08.mp4,"the yellow duck on the river bank",https://youtu.be/tDARRFSUr5M
BluceLi_video_04.mp4,"the man in yellow",https://youtu.be/qXyp87K-B30
